ID,Category,Finding,Severity,OWASP / CWE,Mitigation,Owner,Status
T1,Authorization (BOLA),"GET /members/{id}/loans and /members/{id} do not verify that the token subject equals the path id; any logged-in member can read another member's loans and address",High,API1:2023 / CWE-639,"Derive memberId from the JWT (prefer /me/loans); else enforce token.sub == id or return 403; add an automated authz test",Backend Lead,Open
T2,PII,"Application Insights may capture full request bodies, query strings, or Authorization headers, exposing emails and addresses for the 90-day retention period",High,CWE-532,"Telemetry initializer strips PII; never log bodies or Authorization headers; log memberId not name/email; document redaction rules",Backend Lead,Open
T3,Rate limit,"GET /members/{id} has no per-IP rate limit, allowing ID enumeration and mass PII scraping (compounds T1)",Medium,API4:2023 / CWE-770,"Front Door WAF rate rule 60/min per IP on member reads returning 429; add per-account cap",Platform / DevOps,Open
T4,Authentication,"Public /health returns SQL and Redis up/down status without authentication (internal information disclosure)",Low,CWE-200,"Public /health returns {status:ok} only; keep detailed readiness behind auth or an internal network",Backend Lead,Open
T5,Authentication,"No token revocation on logout; a stolen token stays valid until its 1-hour expiry",Medium,API2:2023,"Keep short expiry; add refresh-token rotation and a deny-list for high-value actions on logout",Backend Lead,Open
T6,Injection,"Search filter GET /books?q= is at risk of string-concatenated SQL if not parameterised",Medium,API8:2023 / CWE-89,"Use parameterised queries everywhere; allow-list any dynamic sort/filter column names",Backend Lead,Open
T7,Secrets,"Verify no .env or connection string is committed to the repo, and that App Service uses Key Vault references not plaintext App Settings",Medium,CWE-798,"Key Vault references + system-assigned Managed Identity; add gitleaks to CI; rotate any exposed secret",Platform / DevOps,Open
T8,Transport,"App Service origin may accept direct HTTP, bypassing the Front Door WAF and rate limits",Medium,CWE-319,"App Service HTTPS-Only on; restrict inbound to the Front Door service tag; verify X-Azure-FDID header; TLS 1.2 minimum",Platform / DevOps,Open
T9,Transport (ZAP finding),"API returns Access-Control-Allow-Origin: * (wildcard CORS); any website could call the API from a browser",Medium,CWE-942,"Set an explicit allow-list of origins (the BookSwap web app); never combine a wildcard with credentials",Backend Lead,Open
T10,Hardening (ZAP finding),"Missing security response headers (X-Content-Type-Options, HSTS); CSP flag is largely a false positive for a JSON API",Low,CWE-693,"Add X-Content-Type-Options: nosniff and HSTS at Front Door; CSP not applicable to pure JSON responses",Platform / DevOps,Open
